sig_id,pert_type,gene_id
CGS001_NPC_96H:CCDC86:1.5,trt_sh.cgs,79080
CGS001_NPC_96H:CCDC92:1.5,trt_sh.cgs,80212
CGS001_NPC_96H:EGFR:1.5,trt_sh.cgs,1956
CGS001_NPC_96H:GSTZ1:1.5,trt_sh.cgs,2954
CGS001_NPC_96H:LPAR2:1.5,trt_sh.cgs,9170
CGS001_NPC_96H:MSRA:1.5,trt_sh.cgs,4482
CGS001_NPC_96H:MAP7:1.5,trt_sh.cgs,9053
CGS001_NPC_96H:SLC1A4:1.5,trt_sh.cgs,6509
CGS001_NPC_96H:SLC2A6:1.5,trt_sh.cgs,11182
CGS001_NPC_96H:SLC5A6:1.5,trt_sh.cgs,8884
CGS001_NPC_96H:BDH1:1.5,trt_sh.cgs,622
CGS001_NPC_96H:AKAP8L:1.5,trt_sh.cgs,26993
CGS001_NPC_96H:DDIT4:1.5,trt_sh.cgs,54541
CGS001_NPC_96H:FAIM:1.5,trt_sh.cgs,55179
CGS001_NPC_96H:NPRL2:1.5,trt_sh.cgs,10641
CGS001_NPC_96H:RAB21:1.5,trt_sh.cgs,23011
CGS001_NPC_96H:RAB31:1.5,trt_sh.cgs,11031
CGS001_NPC_96H:RAB4A:1.5,trt_sh.cgs,5867
CGS001_NPC_96H:RAD9A:1.5,trt_sh.cgs,5883
CGS001_NPC_96H:TARBP1:1.5,trt_sh.cgs,6894
CGS001_NPC_96H:TIMP2:1.5,trt_sh.cgs,7077
CGS001_NPC_96H:TRAP1:1.5,trt_sh.cgs,10131
CGS001_NPC_96H:ATF5:1.5,trt_sh.cgs,22809
CGS001_NPC_96H:ALDOC:1.5,trt_sh.cgs,230
CGS001_NPC_96H:CCDC85B:1.5,trt_sh.cgs,11007
CGS001_NPC_96H:ECD:1.5,trt_sh.cgs,11319
CGS001_NPC_96H:ERBB3:1.5,trt_sh.cgs,2065
CGS001_NPC_96H:GMNN:1.5,trt_sh.cgs,51053
CGS001_NPC_96H:ICAM3:1.5,trt_sh.cgs,3385
CGS001_NPC_96H:LRRC41:1.5,trt_sh.cgs,10489
CGS001_NPC_96H:MTFR1:1.5,trt_sh.cgs,9650
CGS001_NPC_96H:SLC11A2:1.5,trt_sh.cgs,4891
CGS001_NPC_96H:SLC25A4:1.5,trt_sh.cgs,291
CGS001_NPC_96H:SLC27A3:1.5,trt_sh.cgs,11000
CGS001_NPC_96H:SLC37A4:1.5,trt_sh.cgs,2542
