gene_id,regulation,tissue_id
199704,AuG,1891
220416,AuG,955
2124,AuG,2240
9733,AuG,2037
135114,AuG,2240
55884,AuG,1891
112399,AuG,955
80328,AuG,955
6921,AuG,1891
23710,AuG,1893
83648,AuG,955
9181,AuG,1896
23048,AuG,2037
55190,AuG,1891
55144,AuG,1891
221092,AuG,2037
85461,AuG,1896
253635,AuG,2240
2775,AuG,1896
157,AuG,1891
132864,AuG,2240
133522,AuG,2037
80034,AuG,1891
10794,AuG,2037
29942,AuG,955
80110,AuG,955
81563,AuG,955
79641,AuG,1893
79659,AuG,955
226,AuG,1891
9706,AuG,2240
8681,AuG,955
5126,AuG,1891
201163,AuG,2037
80235,AuG,1891
875,AuG,1891
79768,AuG,2240
51665,AuG,2240
57786,AuG,2037
285367,AuG,1896
1954,AuG,2037
84525,AuG,955
158747,AuG,1891
134510,AuG,1891
2891,AuG,1893
54065,AuG,955
152330,AuG,955
56261,AuG,1891
2060,AuG,1896
56953,AuG,955
79602,AuG,2240
347344,AuG,2240
57642,AuG,2240
8537,AuG,1896
3736,AuG,1891
222865,AuG,1891
8601,AuG,2240
403,AuG,1893
25769,AuG,1896
6616,AuG,1891
1382,AuG,955
158358,AuG,1896
23062,AuG,2037
611,AuG,955
8913,AuG,2037
4543,AuG,2037
324,AuG,1891
10675,AuG,2240
23255,AuG,1891
161742,AuG,1891
65062,AuG,2240
84312,AuG,1891
164633,AuG,2240
54413,AuG,2240
255119,AuG,955
3303,AuG,2240
374618,AuG,955
55015,AuG,2037
7692,AuG,955
56947,AuG,2240
16,AuG,1893
4130,AuG,1893
3304,AuG,2240
63922,AuG,955
79005,AuG,2240
25824,AuG,1891
26289,AuG,955
5575,AuG,2240
4257,AuG,2240
84448,AuG,955
225,AuG,955
121268,AuG,955
30850,AuG,2240
29916,AuG,1896
284069,AuG,955
28512,AuG,1891
7562,AuG,955
79879,AuG,2037
7067,AuG,2037
23155,AuG,2240
54969,AuG,1893
55502,AuG,1891
51268,AuG,2240
7322,AuG,955
9715,AuG,2037
9043,AuG,1891
51109,AuG,1891
9832,AuG,1893
23786,AuG,1896
4745,AuG,1893
159091,AuG,955
84557,AuG,1891
401190,AuG,2037
23241,AuG,955
222236,AuG,1896
22903,AuG,2037
9364,AuG,1896
91298,AuG,955
30815,AuG,955
9764,AuG,2037
84258,AuG,2037
8506,AuG,1891
51257,AuG,1891
8448,AuG,955
9355,AuG,955
549,AuG,1891
23033,AuG,1891
83719,AuG,955
158135,AuG,955
321,AuG,1893
2561,AuG,2037
2067,AuG,2240
129049,AuG,955
440,AuG,1893
4774,AuG,1896
55509,AuG,955
9215,AuG,955
23287,AuG,2240
134829,AuG,955
55255,AuG,1896
11123,AuG,2037
1813,AuG,955
27239,AuG,2037
5411,AuG,2240
50512,AuG,955
7323,AuG,1891
55687,AuG,955
65981,AuG,1891
84264,AuG,1896
23263,AuG,1891
1501,AuG,1893
57555,AuG,1891
9568,AuG,1893
4353,AuG,955
10540,AuG,1891
6094,AuG,1891
1687,AuG,1893
22808,AuG,2240
51199,AuG,955
6678,AuG,1896
23127,AuG,2037
57143,AuG,1891
158046,AuG,955
149647,AuG,955
51412,AuG,1891
170371,AuG,1896
257240,AuG,955
23678,AuG,2240
9108,AuG,955
79944,AuG,955
57181,AuG,1891
23620,AuG,955
64061,AuG,1893
84866,AuG,1891
9635,AuG,955
4929,AuG,1893
22808,AuG,1891
1778,AuG,1896
9586,AuG,1891
115703,AuG,2037
7447,AuG,1891
26090,AuG,2240
10890,AuG,2240
10125,AuG,1893
9338,AuG,955
81565,AuG,955
57583,AuG,955
5663,AuG,1893
131408,AuG,1893
7267,AuG,2037
90121,AuG,1891
340529,AuG,2037
56301,AuG,955
5716,AuG,2240
79575,AuG,2037
220164,AuG,1896
79870,AuG,1896
79135,AuG,955
5203,AuG,1891
80012,AuG,955
55109,AuG,2240
200845,AuG,2240
4298,AuG,2037
10900,AuG,1893
63931,AuG,1891
10971,AuG,955
599,AuG,1891
56474,AuG,955
57556,AuG,1896
5569,AuG,1893
6507,AuG,1893
10768,AuG,1893
23258,AuG,2037
3920,AuG,1891
1573,AuG,1891
29114,AuG,2037
98,AuG,1896
7175,AuG,2240
5867,AuG,955
150159,AuG,955
84458,AuG,955
9463,AuG,955
5816,AuG,955
83737,AuG,1891
5129,AuG,1896
92483,AuG,955
6900,AuG,1896
8632,AuG,1896
23008,AuG,1896
114825,AuG,2037
9892,AuG,1891
11311,AuG,1893
29078,AuG,1896
80762,AuG,1891
29106,AuG,1896
91433,AuG,955
9478,AuG,1891
7111,AuG,2037
4685,AuG,955
85458,AuG,2240
22836,AuG,1893
27165,AuG,2037
64759,AuG,1896
8862,AuG,955
84926,AuG,1891
256643,AuG,2240
5526,AuG,2240
54886,AuG,1896
3199,AuG,1896
78997,AuG,2037
84957,AuG,1891
8411,AuG,955
84900,AuG,1893
154881,AuG,1891
9745,AuG,2240
146691,AuG,1891
2288,AuG,2037
10286,AuG,2240
4440,AuG,2037
321,AuG,2037
63933,AuG,1891
27018,AuG,1891
7013,AuG,1896
57580,AuG,955
57633,AuG,955
146223,AuG,1891
22933,AuG,2240
9806,AuG,1893
1745,AuG,955
55063,AuG,1896
386617,AuG,2037
25793,AuG,1891
79169,AuG,2037
10507,AuG,1896
55181,AuG,955
2891,AuG,2240
23046,AuG,1896
55964,AuG,2240
9625,AuG,1896
10383,AuG,1891
4915,AuG,2037
9181,AuG,2240
64077,AuG,1893
80723,AuG,2240
9379,AuG,955
9895,AuG,2240
2596,AuG,1893
79369,AuG,1891
5582,AuG,955
79957,AuG,955
140465,AuG,1893
84249,AuG,2240
25989,AuG,1891
84162,AuG,1891
66008,AuG,1893
65056,AuG,1891
2571,AuG,2240
23462,AuG,1896
56941,AuG,955
8658,AuG,1893
51701,AuG,1891
4947,AuG,1896
8522,AuG,1893
145501,AuG,955
161497,AuG,2037
5775,AuG,2037
5562,AuG,1891
8447,AuG,2037
5901,AuG,2240
283373,AuG,1891
54969,AuG,1891
9372,AuG,1891
7014,AuG,1893
27069,AuG,955
6921,AuG,955
9922,AuG,1893
51310,AuG,1891
54542,AuG,955
2257,AuG,2037
3356,AuG,1893
6664,AuG,2240
950,AuG,2240
115584,AuG,2240
148345,AuG,2037
27351,AuG,1891
79993,AuG,2240
81615,AuG,2037
84064,AuG,1896
91947,AuG,2240
23400,AuG,1893
4674,AuG,1893
81831,AuG,1891
286451,AuG,1893
4494,AuG,955
5786,AuG,1893
28982,AuG,1891
4329,AuG,955
55223,AuG,1896
64714,AuG,2037
22920,AuG,955
9909,AuG,1891
9923,AuG,2037
51538,AuG,955
9920,AuG,2240
79739,AuG,1896
7464,AuG,2037
339983,AuG,2037
