gene_id,regulation,tissue_id
10725,AeG,1891
55671,AeG,2037
66002,AeG,2037
117178,AeG,1895
57562,AeG,1891
10363,AeG,1017
79990,AeG,955
10614,AeG,1017
1073,AeG,1895
79810,AeG,2240
51780,AeG,2240
9513,AeG,955
1975,AeG,1893
8729,AeG,1896
9331,AeG,1016
6240,AeG,1893
90522,AeG,1016
84269,AeG,2037
55075,AeG,955
4833,AeG,1891
148581,AeG,1016
85013,AeG,1016
54878,AeG,1893
60,AeG,2028
5593,AeG,955
114569,AeG,1896
54883,AeG,955
56137,AeG,2298
114609,AeG,1017
55773,AeG,2037
4692,AeG,1896
116135,AeG,955
127933,AeG,2240
6446,AeG,1891
146542,AeG,1895
55179,AeG,2037
1843,AeG,1017
145226,AeG,1895
56987,AeG,1893
85453,AeG,2240
963,AeG,1016
129563,AeG,2037
57062,AeG,1896
8974,AeG,1017
80328,AeG,955
10010,AeG,2037
134553,AeG,2240
57171,AeG,1895
114897,AeG,955
727,AeG,1896
23031,AeG,1891
23070,AeG,1017
2288,AeG,2240
23493,AeG,1891
4975,AeG,1021
9353,AeG,2240
11343,AeG,1017
2040,AeG,1896
1647,AeG,1016
84309,AeG,2037
55209,AeG,1896
9129,AeG,955
5686,AeG,1896
79158,AeG,1893
64422,AeG,1891
10365,AeG,2037
143282,AeG,1017
1152,AeG,1890
25894,AeG,2028
119,AeG,1016
84285,AeG,2240
4739,AeG,1893
6875,AeG,2037
5955,AeG,2298
23052,AeG,955
150465,AeG,955
23040,AeG,2037
4066,AeG,1895
56122,AeG,955
205147,AeG,2028
51094,AeG,1017
55614,AeG,2037
219931,AeG,2037
84895,AeG,955
9245,AeG,955
10296,AeG,1890
51142,AeG,1896
23016,AeG,1017
93664,AeG,2037
10963,AeG,1890
146279,AeG,1017
29116,AeG,1017
84823,AeG,1893
5792,AeG,1890
84267,AeG,1891
2077,AeG,2240
7534,AeG,2028
375,AeG,2028
54583,AeG,1891
54877,AeG,1891
196740,AeG,955
9839,AeG,955
497190,AeG,1017
84909,AeG,1891
10180,AeG,1017
56911,AeG,2037
4851,AeG,955
10614,AeG,1895
89801,AeG,1016
22802,AeG,1016
55320,AeG,955
23157,AeG,2037
10531,AeG,955
340529,AeG,2037
5157,AeG,2240
5020,AeG,2028
122704,AeG,1016
5440,AeG,1890
6923,AeG,1017
84937,AeG,1016
2571,AeG,1896
5205,AeG,1896
6773,AeG,2037
51765,AeG,2037
8773,AeG,1893
27324,AeG,2240
1016,AeG,955
55862,AeG,1891
1466,AeG,1896
83723,AeG,1017
65003,AeG,45
4311,AeG,1016
10871,AeG,1017
90952,AeG,2240
57692,AeG,1891
2621,AeG,1017
79190,AeG,1017
116447,AeG,955
23529,AeG,2037
29089,AeG,1891
7402,AeG,1890
1466,AeG,2240
54674,AeG,1891
255252,AeG,1896
10473,AeG,1017
7122,AeG,2037
729085,AeG,955
51008,AeG,1891
1778,AeG,1893
7879,AeG,2240
57630,AeG,1016
57606,AeG,1016
10101,AeG,955
23310,AeG,2240
220988,AeG,1016
28969,AeG,1016
9248,AeG,2028
64084,AeG,1891
146909,AeG,1016
253314,AeG,2037
961,AeG,1891
55972,AeG,2037
26281,AeG,1017
55638,AeG,955
9338,AeG,955
55512,AeG,1016
84722,AeG,2240
2926,AeG,1891
50632,AeG,955
9882,AeG,1891
51067,AeG,1896
3600,AeG,1890
9955,AeG,1017
54555,AeG,2240
23474,AeG,2240
347733,AeG,1891
1191,AeG,45
84302,AeG,1896
55967,AeG,955
90874,AeG,2037
7276,AeG,2240
65095,AeG,1891
2019,AeG,1890
2798,AeG,1017
9338,AeG,1893
6751,AeG,1016
10919,AeG,1891
56893,AeG,1890
57664,AeG,955
8239,AeG,1017
7266,AeG,1891
3416,AeG,1893
23032,AeG,1891
5545,AeG,2298
1662,AeG,1017
2022,AeG,2037
91010,AeG,1017
56948,AeG,1893
56983,AeG,1891
196500,AeG,2037
65977,AeG,955
9520,AeG,1893
115209,AeG,2298
4478,AeG,1891
55870,AeG,1017
2048,AeG,1893
57645,AeG,955
339324,AeG,1896
4478,AeG,955
57464,AeG,2037
965,AeG,2240
6723,AeG,1893
25911,AeG,2037
344561,AeG,1016
51390,AeG,1016
10022,AeG,1017
5683,AeG,1896
8363,AeG,2037
4717,AeG,2037
84660,AeG,2298
85464,AeG,955
130557,AeG,2240
54505,AeG,1890
9075,AeG,1017
84305,AeG,2037
55611,AeG,955
11182,AeG,1016
55973,AeG,1890
4831,AeG,955
7337,AeG,1893
3770,AeG,2037
51091,AeG,955
10276,AeG,955
64395,AeG,1893
481,AeG,2240
29781,AeG,2037
1534,AeG,45
522,AeG,1891
64744,AeG,1891
55070,AeG,955
118672,AeG,955
2821,AeG,955
57326,AeG,1890
83733,AeG,1891
6751,AeG,1895
11075,AeG,1017
5509,AeG,1896
3047,AeG,1016
5045,AeG,2028
5634,AeG,2240
30849,AeG,955
153527,AeG,955
79849,AeG,1016
115752,AeG,1891
54505,AeG,2037
3960,AeG,955
387763,AeG,1891
54801,AeG,1891
23463,AeG,1893
389073,AeG,955
9478,AeG,2240
1466,AeG,1016
51185,AeG,955
1644,AeG,1895
10466,AeG,1017
1429,AeG,1017
23770,AeG,1895
4217,AeG,1017
3337,AeG,2037
114769,AeG,2037
9015,AeG,1891
7551,AeG,955
84896,AeG,1016
659,AeG,1896
114881,AeG,1017
9246,AeG,1896
5909,AeG,955
619279,AeG,1017
8153,AeG,1017
11118,AeG,1016
10525,AeG,1016
7080,AeG,1890
6124,AeG,1893
6650,AeG,2037
2637,AeG,1895
1270,AeG,2037
51074,AeG,955
6827,AeG,1896
2063,AeG,955
11311,AeG,1017
5534,AeG,1017
92014,AeG,955
340146,AeG,1016
22818,AeG,1016
6651,AeG,1896
3569,AeG,2240
146378,AeG,955
7564,AeG,1896
27296,AeG,1016
4781,AeG,955
51690,AeG,955
80256,AeG,955
1198,AeG,1017
523,AeG,1890
10924,AeG,1891
6323,AeG,1017
399947,AeG,1017
54946,AeG,1017
26123,AeG,2037
5862,AeG,1017
29767,AeG,2240
23385,AeG,1890
26049,AeG,1017
401,AeG,955
53339,AeG,1891
9709,AeG,2240
80774,AeG,1016
1293,AeG,2240
57171,AeG,2037
203259,AeG,2037
140823,AeG,1017
51258,AeG,1017
55243,AeG,955
1666,AeG,2028
7529,AeG,2240
3636,AeG,2240
65220,AeG,1893
1385,AeG,1016
200933,AeG,1896
3032,AeG,955
9114,AeG,2037
2180,AeG,1890
8505,AeG,955
80124,AeG,955
23051,AeG,1896
4615,AeG,1893
5822,AeG,955
222194,AeG,2028
28990,AeG,955
51635,AeG,1017
2778,AeG,1016
9295,AeG,1891
54858,AeG,955
255275,AeG,1017
401541,AeG,1016
55588,AeG,1890
25824,AeG,2037
3397,AeG,1896
54801,AeG,2037
9241,AeG,955
8495,AeG,2037
202559,AeG,955
51082,AeG,1896
256536,AeG,955
122809,AeG,955
7011,AeG,1896
8504,AeG,955
57605,AeG,1017
200424,AeG,1016
55829,AeG,955
57665,AeG,1017
29992,AeG,1896
79290,AeG,1890
10289,AeG,1890
988,AeG,2240
9793,AeG,1896
10875,AeG,2037
2101,AeG,955
2820,AeG,1017
11073,AeG,2037
10005,AeG,1017
10248,AeG,1893
3480,AeG,2298
23355,AeG,2037
29,AeG,1893
1325,AeG,1017
80148,AeG,1893
25873,AeG,1890
23239,AeG,1893
148,AeG,1016
420,AeG,955
79369,AeG,1891
60592,AeG,955
27345,AeG,1891
9125,AeG,2037
9031,AeG,2240
57471,AeG,2037
55844,AeG,1896
54033,AeG,1896
10717,AeG,1016
1072,AeG,1017
387509,AeG,1891
147685,AeG,2037
3787,AeG,1891
54958,AeG,955
84549,AeG,2240
2767,AeG,2037
64092,AeG,2240
6136,AeG,2298
5179,AeG,2298
9994,AeG,1893
374819,AeG,1896
6497,AeG,1891
90134,AeG,1016
5257,AeG,1891
9039,AeG,2240
10666,AeG,1016
9482,AeG,1893
400745,AeG,2037
5707,AeG,1893
148534,AeG,2037
26286,AeG,1891
10724,AeG,955
2101,AeG,1896
777,AeG,955
27152,AeG,1016
10434,AeG,1016
9020,AeG,955
11112,AeG,2037
1650,AeG,45
1431,AeG,955
23046,AeG,1017
79664,AeG,1893
8971,AeG,1893
85027,AeG,1017
10233,AeG,1891
6193,AeG,1895
56623,AeG,2037
23639,AeG,2240
84661,AeG,1891
4208,AeG,1890
8658,AeG,1893
9501,AeG,2037
3155,AeG,2037
25989,AeG,955
274,AeG,1896
11340,AeG,1896
150946,AeG,2037
55203,AeG,1017
84928,AeG,1017
9695,AeG,2240
6170,AeG,1893
8605,AeG,2037
23047,AeG,1895
6415,AeG,1017
342035,AeG,1016
136,AeG,2037
2563,AeG,2037
25798,AeG,1891
26060,AeG,1017
23394,AeG,1890
1869,AeG,1017
140885,AeG,1891
5906,AeG,955
7378,AeG,1891
27202,AeG,1016
415116,AeG,1016
10818,AeG,1017
10755,AeG,1895
6713,AeG,1016
3626,AeG,1016
6591,AeG,1017
6428,AeG,955
60686,AeG,1017
10150,AeG,1016
3481,AeG,2037
65997,AeG,1017
26232,AeG,1893
55692,AeG,1890
