gene,relationship,MF
339344,GpMF,GO:0001012
345557,GpMF,GO:0016788
6497,GpMF,GO:0035033
2819,GpMF,GO:0051287
417,GpMF,GO:0003956
64066,GpMF,GO:0004175
162515,GpMF,GO:0015129
2044,GpMF,GO:0016301
84230,GpMF,GO:0008509
5454,GpMF,GO:0000987
9194,GpMF,GO:0050833
4701,GpMF,GO:0016651
9045,GpMF,GO:0003735
3084,GpMF,GO:0005125
23770,GpMF,GO:0016853
4520,GpMF,GO:0000989
468,GpMF,GO:0000987
466,GpMF,GO:0046982
80179,GpMF,GO:0016887
124739,GpMF,GO:0070011
10620,GpMF,GO:0035326
56994,GpMF,GO:0017169
2912,GpMF,GO:0001640
10454,GpMF,GO:0016788
1046,GpMF,GO:0000976
26119,GpMF,GO:0005198
9968,GpMF,GO:0061630
1260,GpMF,GO:0022843
220988,GpMF,GO:0022857
6813,GpMF,GO:0017075
10603,GpMF,GO:0060090
1653,GpMF,GO:0070717
2977,GpMF,GO:0009975
2890,GpMF,GO:0005230
54102,GpMF,GO:0015267
90390,GpMF,GO:0003713
2303,GpMF,GO:0044212
11200,GpMF,GO:0004672
7153,GpMF,GO:0003916
5473,GpMF,GO:1901476
4779,GpMF,GO:0000977
4618,GpMF,GO:0000976
146862,GpMF,GO:0031072
92797,GpMF,GO:0043141
6009,GpMF,GO:0005525
10299,GpMF,GO:1990381
358,GpMF,GO:1901618
6714,GpMF,GO:0004715
1737,GpMF,GO:0016407
29935,GpMF,GO:0003697
55140,GpMF,GO:0034212
2309,GpMF,GO:0001047
6662,GpMF,GO:1990837
88,GpMF,GO:0003712
1551,GpMF,GO:0019825
4208,GpMF,GO:0033613
4036,GpMF,GO:0017124
859,GpMF,GO:0043014
10419,GpMF,GO:0001067
4040,GpMF,GO:0004857
4287,GpMF,GO:0101005
6890,GpMF,GO:0042623
10257,GpMF,GO:0016462
51205,GpMF,GO:0016788
57030,GpMF,GO:0015077
400961,GpMF,GO:0045182
6898,GpMF,GO:0016597
10097,GpMF,GO:0008092
1138,GpMF,GO:0022834
5413,GpMF,GO:0016818
9489,GpMF,GO:0017169
7419,GpMF,GO:0015288
390321,GpMF,GO:0004984
80975,GpMF,GO:0008233
2026,GpMF,GO:0004634
1956,GpMF,GO:0003682
6338,GpMF,GO:0005272
9368,GpMF,GO:0019904
56254,GpMF,GO:0003729
6382,GpMF,GO:0001948
51703,GpMF,GO:0016877
119180,GpMF,GO:0016798
79159,GpMF,GO:0019843
9420,GpMF,GO:0016709
846,GpMF,GO:0004930
10629,GpMF,GO:0016747
55347,GpMF,GO:0016798
1349,GpMF,GO:0015075
9801,GpMF,GO:0005198
3284,GpMF,GO:0016853
10454,GpMF,GO:0019209
54622,GpMF,GO:0005525
84735,GpMF,GO:0008233
144455,GpMF,GO:0000975
3667,GpMF,GO:0019904
51176,GpMF,GO:0000981
219484,GpMF,GO:0004984
93010,GpMF,GO:0016758
112812,GpMF,GO:0051537
3151,GpMF,GO:0031490
2817,GpMF,GO:0019838
1495,GpMF,GO:0005198
10280,GpMF,GO:0004930
4908,GpMF,GO:0042056
55435,GpMF,GO:0008092
165679,GpMF,GO:0016747
64132,GpMF,GO:0030158
8909,GpMF,GO:0030246
55775,GpMF,GO:0016788
253738,GpMF,GO:0001012
5167,GpMF,GO:0016817
55250,GpMF,GO:0032403
26154,GpMF,GO:0016817
2840,GpMF,GO:0004950
9775,GpMF,GO:0003724
9837,GpMF,GO:0043138
100125288,GpMF,GO:0000976
1233,GpMF,GO:0004930
10248,GpMF,GO:0004549
9555,GpMF,GO:1990837
7299,GpMF,GO:0016716
51513,GpMF,GO:0000981
64324,GpMF,GO:0035258
339977,GpMF,GO:0004857
842,GpMF,GO:0017124
5598,GpMF,GO:0051019
28231,GpMF,GO:0008509
64078,GpMF,GO:0022804
3242,GpMF,GO:0003868
3065,GpMF,GO:0031492
1842,GpMF,GO:0005518
29928,GpMF,GO:0022803
26354,GpMF,GO:0017111
486,GpMF,GO:0015399
2100,GpMF,GO:0001067
1053,GpMF,GO:0000977
53632,GpMF,GO:0004672
25771,GpMF,GO:0060589
645425,GpMF,GO:0008134
5147,GpMF,GO:0005095
9187,GpMF,GO:0015085
4986,GpMF,GO:0004930
25828,GpMF,GO:0015036
6812,GpMF,GO:0019905
3784,GpMF,GO:0008324
9826,GpMF,GO:0030234
2166,GpMF,GO:0016298
22933,GpMF,GO:0048037
131870,GpMF,GO:0098519
4929,GpMF,GO:0001067
2686,GpMF,GO:0036374
6354,GpMF,GO:0005125
3757,GpMF,GO:0016772
4775,GpMF,GO:0044212
6469,GpMF,GO:0043237
4846,GpMF,GO:0050660
64135,GpMF,GO:0003725
11054,GpMF,GO:0001653
353143,GpMF,GO:0005198
5007,GpMF,GO:1901981
23336,GpMF,GO:0008092
7019,GpMF,GO:0000976
81894,GpMF,GO:0003735
479,GpMF,GO:0015077
51068,GpMF,GO:0060090
11094,GpMF,GO:0046873
91,GpMF,GO:0019199
6509,GpMF,GO:0015075
54658,GpMF,GO:0005501
5966,GpMF,GO:0001205
89832,GpMF,GO:0022836
400986,GpMF,GO:0008200
23627,GpMF,GO:0005507
347736,GpMF,GO:0016776
342372,GpMF,GO:0033040
959,GpMF,GO:0005164
246213,GpMF,GO:0005310
55231,GpMF,GO:0008092
10155,GpMF,GO:0016773
326,GpMF,GO:0001012
93129,GpMF,GO:0046873
84290,GpMF,GO:0004198
22808,GpMF,GO:0030742
1145,GpMF,GO:0022838
3801,GpMF,GO:0003774
3698,GpMF,GO:0061135
392188,GpMF,GO:0008233
1159,GpMF,GO:0016301
28976,GpMF,GO:0009055
150,GpMF,GO:0032403
113451,GpMF,GO:0042978
220963,GpMF,GO:0008028
142679,GpMF,GO:0019887
5924,GpMF,GO:0005516
8625,GpMF,GO:0000989
6500,GpMF,GO:0061659
3249,GpMF,GO:0005227
51094,GpMF,GO:0016500
50944,GpMF,GO:0030160
55810,GpMF,GO:0001228
2186,GpMF,GO:0008134
117532,GpMF,GO:0008324
1363,GpMF,GO:0017171
55768,GpMF,GO:0016811
2300,GpMF,GO:0000981
9026,GpMF,GO:0030276
65264,GpMF,GO:0004842
57205,GpMF,GO:0042623
51143,GpMF,GO:0032561
5744,GpMF,GO:0005179
80270,GpMF,GO:0016229
3077,GpMF,GO:1990459
6421,GpMF,GO:0000976
642273,GpMF,GO:0008092
23498,GpMF,GO:0016701
152,GpMF,GO:0004935
57519,GpMF,GO:0032403
5796,GpMF,GO:0019198
414062,GpMF,GO:0042379
5241,GpMF,GO:0000981
117247,GpMF,GO:0072349
538,GpMF,GO:0015405
8550,GpMF,GO:0004683
2771,GpMF,GO:0005525
337,GpMF,GO:0008047
9946,GpMF,GO:0050661
50515,GpMF,GO:0008146
1135,GpMF,GO:0022838
54869,GpMF,GO:0008092
26281,GpMF,GO:0070851
4983,GpMF,GO:0008092
6687,GpMF,GO:0016887
6006,GpMF,GO:0022857
54938,GpMF,GO:0004828
441873,GpMF,GO:0042974
25923,GpMF,GO:0005525
9219,GpMF,GO:0000976
1277,GpMF,GO:0005198
10211,GpMF,GO:0046982
1781,GpMF,GO:0016818
1497,GpMF,GO:0015075
8740,GpMF,GO:0030234
383,GpMF,GO:0016813
11141,GpMF,GO:0005216
7150,GpMF,GO:0000976
10060,GpMF,GO:0022890
1528,GpMF,GO:0016616
9230,GpMF,GO:0016818
9810,GpMF,GO:0032403
5867,GpMF,GO:0017111
10383,GpMF,GO:0016818
5507,GpMF,GO:0019902
79581,GpMF,GO:0032217
8774,GpMF,GO:0019905
1261,GpMF,GO:0005223
7051,GpMF,GO:0016755
491,GpMF,GO:0015405
5888,GpMF,GO:0004519
9324,GpMF,GO:0031491
4722,GpMF,GO:0008137
8916,GpMF,GO:0016874
4313,GpMF,GO:0004222
64849,GpMF,GO:0015183
5025,GpMF,GO:0005507
5575,GpMF,GO:0004862
9463,GpMF,GO:0032403
1577,GpMF,GO:0004497
9555,GpMF,GO:0003682
51321,GpMF,GO:0008233
84444,GpMF,GO:0008757
51202,GpMF,GO:0070035
3604,GpMF,GO:0019955
51451,GpMF,GO:0016741
170959,GpMF,GO:0001012
2563,GpMF,GO:0015108
4807,GpMF,GO:1990837
54862,GpMF,GO:0000977
5764,GpMF,GO:0043394
8576,GpMF,GO:0004672
161725,GpMF,GO:0070530
835,GpMF,GO:0004175
10794,GpMF,GO:0001012
4943,GpMF,GO:0005096
169714,GpMF,GO:0016864
5270,GpMF,GO:0005539
2350,GpMF,GO:0008517
29124,GpMF,GO:0052689
23400,GpMF,GO:0015075
285349,GpMF,GO:0000976
170506,GpMF,GO:0008094
92797,GpMF,GO:0016462
1146,GpMF,GO:0005230
90,GpMF,GO:0019199
3276,GpMF,GO:0008276
2925,GpMF,GO:0004930
1104,GpMF,GO:0031491
50943,GpMF,GO:0001047
3234,GpMF,GO:0003690
196483,GpMF,GO:0016278
4661,GpMF,GO:0044212
11131,GpMF,GO:0004197
23120,GpMF,GO:0000287
