gene_from,relationship,gene_to
6774,EXPRESSION,1956
7157,EXPRESSION,472
7494,EXPRESSION,22926
5347,EXPRESSION,2305
79633,EXPRESSION,24147
3488,EXPRESSION,3479
367,EXPRESSION,5728
3569,EXPRESSION,7124
2621,EXPRESSION,558
2247,EXPRESSION,7422
1392,EXPRESSION,1394
9370,EXPRESSION,3569
3162,EXPRESSION,3586
7157,EXPRESSION,57817
7456,EXPRESSION,7454
10664,EXPRESSION,5080
1956,EXPRESSION,10413
1581,EXPRESSION,2874
1026,EXPRESSION,4609
3569,EXPRESSION,9021
3814,EXPRESSION,4318
7295,EXPRESSION,10628
23411,EXPRESSION,7351
3569,EXPRESSION,57817
3630,EXPRESSION,5315
2305,EXPRESSION,2309
1026,EXPRESSION,7157
10658,EXPRESSION,100506658
9241,EXPRESSION,2247
1956,EXPRESSION,999
8320,EXPRESSION,3565
10000,EXPRESSION,5295
627,EXPRESSION,1385
3565,EXPRESSION,8320
652,EXPRESSION,4487
5460,EXPRESSION,1045
5295,EXPRESSION,10000
207,EXPRESSION,2308
25898,EXPRESSION,7157
89780,EXPRESSION,8313
2064,EXPRESSION,2194
115650,EXPRESSION,10673
3553,EXPRESSION,6347
6662,EXPRESSION,6469
5728,EXPRESSION,7157
6790,EXPRESSION,7157
7351,EXPRESSION,23411
3064,EXPRESSION,10891
10000,EXPRESSION,5291
5329,EXPRESSION,5328
634,EXPRESSION,6662
6591,EXPRESSION,999
958,EXPRESSION,959
84312,EXPRESSION,6696
6496,EXPRESSION,5080
7157,EXPRESSION,10365
3050,EXPRESSION,50943
3077,EXPRESSION,57817
10000,EXPRESSION,5293
7490,EXPRESSION,5076
100528032,EXPRESSION,3600
7157,EXPRESSION,3313
56246,EXPRESSION,4158
23314,EXPRESSION,121340
7157,EXPRESSION,4609
5741,EXPRESSION,8600
3586,EXPRESSION,3565
2624,EXPRESSION,2623
6774,EXPRESSION,3605
3791,EXPRESSION,8829
6122,EXPRESSION,875
860,EXPRESSION,650
2247,EXPRESSION,9241
999,EXPRESSION,2146
5460,EXPRESSION,5315
2057,EXPRESSION,2056
3791,EXPRESSION,1003
5293,EXPRESSION,207
9075,EXPRESSION,6927
3605,EXPRESSION,3586
9971,EXPRESSION,949
7057,EXPRESSION,961
639,EXPRESSION,3558
8503,EXPRESSION,207
5054,EXPRESSION,3630
50507,EXPRESSION,7099
9971,EXPRESSION,8431
6714,EXPRESSION,302
10000,EXPRESSION,8503
6536,EXPRESSION,9324
2249,EXPRESSION,26585
1500,EXPRESSION,999
860,EXPRESSION,2260
3630,EXPRESSION,26291
3553,EXPRESSION,3383
5296,EXPRESSION,5170
6778,EXPRESSION,3565
7350,EXPRESSION,252995
3586,EXPRESSION,7292
29947,EXPRESSION,1788
604,EXPRESSION,5617
3565,EXPRESSION,7494
4609,EXPRESSION,3190
860,EXPRESSION,4322
3553,EXPRESSION,4322
7422,EXPRESSION,1906
5741,EXPRESSION,50964
302,EXPRESSION,6281
6347,EXPRESSION,3553
10499,EXPRESSION,4656
5743,EXPRESSION,7052
23411,EXPRESSION,3090
6774,EXPRESSION,7422
3952,EXPRESSION,4852
6696,EXPRESSION,25855
5170,EXPRESSION,5293
627,EXPRESSION,4204
6469,EXPRESSION,2735
5079,EXPRESSION,639
328,EXPRESSION,7157
23411,EXPRESSION,4609
4780,EXPRESSION,9817
2626,EXPRESSION,9464
3560,EXPRESSION,10628
8313,EXPRESSION,89780
6517,EXPRESSION,3630
5290,EXPRESSION,208
3479,EXPRESSION,7422
207,EXPRESSION,5728
94121,EXPRESSION,9480
6662,EXPRESSION,634
3479,EXPRESSION,3488
285,EXPRESSION,7422
207,EXPRESSION,5295
595,EXPRESSION,1019
1029,EXPRESSION,7157
3553,EXPRESSION,3569
604,EXPRESSION,7157
57007,EXPRESSION,6387
6774,EXPRESSION,3569
3630,EXPRESSION,6720
30009,EXPRESSION,2625
5468,EXPRESSION,23090
56950,EXPRESSION,7157
7157,EXPRESSION,604
3383,EXPRESSION,7124
2305,EXPRESSION,7422
1003,EXPRESSION,3791
50943,EXPRESSION,2625
3952,EXPRESSION,5468
1647,EXPRESSION,7073
3553,EXPRESSION,4318
3484,EXPRESSION,3479
7157,EXPRESSION,4193
3576,EXPRESSION,3553
8074,EXPRESSION,1594
50943,EXPRESSION,3050
3630,EXPRESSION,5770
5326,EXPRESSION,4352
4322,EXPRESSION,3622
207,EXPRESSION,4088
3952,EXPRESSION,9021
627,EXPRESSION,4803
2309,EXPRESSION,207
3559,EXPRESSION,3558
1950,EXPRESSION,5743
7157,EXPRESSION,6790
208,EXPRESSION,5293
4322,EXPRESSION,3553
7292,EXPRESSION,3586
7157,EXPRESSION,2305
55908,EXPRESSION,3630
5347,EXPRESSION,7157
3569,EXPRESSION,6347
4193,EXPRESSION,7157
7157,EXPRESSION,1844
9021,EXPRESSION,3952
8600,EXPRESSION,3605
6469,EXPRESSION,6662
23411,EXPRESSION,2308
1493,EXPRESSION,3605
79923,EXPRESSION,5460
7157,EXPRESSION,328
22914,EXPRESSION,3600
7157,EXPRESSION,960
1956,EXPRESSION,6774
2735,EXPRESSION,999
5080,EXPRESSION,63973
4851,EXPRESSION,5728
5743,EXPRESSION,308
3953,EXPRESSION,3952
3558,EXPRESSION,50943
7291,EXPRESSION,10891
1839,EXPRESSION,9370
3952,EXPRESSION,3630
2909,EXPRESSION,2908
3586,EXPRESSION,6774
4914,EXPRESSION,4803
538,EXPRESSION,1977
5290,EXPRESSION,5170
6774,EXPRESSION,29126
142,EXPRESSION,2146
3630,EXPRESSION,255738
4846,EXPRESSION,3630
3725,EXPRESSION,5599
3569,EXPRESSION,7422
4233,EXPRESSION,1956
5293,EXPRESSION,5170
5468,EXPRESSION,1874
5290,EXPRESSION,10000
3630,EXPRESSION,8660
2688,EXPRESSION,974
3605,EXPRESSION,6774
2625,EXPRESSION,51043
3630,EXPRESSION,4846
2194,EXPRESSION,7391
1956,EXPRESSION,4233
23411,EXPRESSION,9370
6696,EXPRESSION,84312
1794,EXPRESSION,93649
6347,EXPRESSION,3569
5080,EXPRESSION,10664
3569,EXPRESSION,3605
22926,EXPRESSION,7494
5291,EXPRESSION,208
6387,EXPRESSION,7852
2796,EXPRESSION,4692
7157,EXPRESSION,5347
961,EXPRESSION,7057
3558,EXPRESSION,639
1942,EXPRESSION,1969
941,EXPRESSION,1493
7157,EXPRESSION,79923
6469,EXPRESSION,652
50964,EXPRESSION,5741
2309,EXPRESSION,10018
1581,EXPRESSION,8431
208,EXPRESSION,5290
3565,EXPRESSION,383
960,EXPRESSION,3586
2146,EXPRESSION,142
5649,EXPRESSION,7804
7422,EXPRESSION,6696
7124,EXPRESSION,3576
3558,EXPRESSION,4772
3586,EXPRESSION,4094
941,EXPRESSION,29126
7157,EXPRESSION,1029
1019,EXPRESSION,595
5617,EXPRESSION,604
9971,EXPRESSION,1581
4846,EXPRESSION,2309
1045,EXPRESSION,5460
5291,EXPRESSION,5170
208,EXPRESSION,8503
2641,EXPRESSION,4825
3630,EXPRESSION,5054
1394,EXPRESSION,1392
3162,EXPRESSION,468
9370,EXPRESSION,1839
3630,EXPRESSION,5106
5728,EXPRESSION,29126
93649,EXPRESSION,1794
4255,EXPRESSION,7157
3105,EXPRESSION,567
2796,EXPRESSION,1958
2697,EXPRESSION,1950
7124,EXPRESSION,3383
63924,EXPRESSION,5346
3791,EXPRESSION,7422
121340,EXPRESSION,5308
255738,EXPRESSION,3630
8822,EXPRESSION,6469
3091,EXPRESSION,7422
7157,EXPRESSION,3480
7157,EXPRESSION,995
472,EXPRESSION,7157
4094,EXPRESSION,3586
3486,EXPRESSION,7157
2255,EXPRESSION,6469
5468,EXPRESSION,3952
367,EXPRESSION,6714
4158,EXPRESSION,56246
3484,EXPRESSION,3630
3569,EXPRESSION,3565
1392,EXPRESSION,5443
1956,EXPRESSION,29126
1050,EXPRESSION,6272
7422,EXPRESSION,3091
7157,EXPRESSION,27165
56033,EXPRESSION,652
1493,EXPRESSION,941
7422,EXPRESSION,3569
55818,EXPRESSION,4609
598,EXPRESSION,6774
3565,EXPRESSION,2625
57817,EXPRESSION,3569
7157,EXPRESSION,3486
4208,EXPRESSION,1749
3576,EXPRESSION,7124
650,EXPRESSION,860
3565,EXPRESSION,6778
7157,EXPRESSION,80854
5296,EXPRESSION,207
7422,EXPRESSION,4846
1844,EXPRESSION,7157
3064,EXPRESSION,627
960,EXPRESSION,7157
102,EXPRESSION,3156
999,EXPRESSION,2735
3090,EXPRESSION,23411
5770,EXPRESSION,3630
3549,EXPRESSION,5744
2529,EXPRESSION,2625
4204,EXPRESSION,627
999,EXPRESSION,9839
94241,EXPRESSION,7157
3569,EXPRESSION,3553
4221,EXPRESSION,5764
5744,EXPRESSION,3549
3630,EXPRESSION,2641
2475,EXPRESSION,64798
9843,EXPRESSION,10919
6347,EXPRESSION,7124
4615,EXPRESSION,3654
4487,EXPRESSION,652
6774,EXPRESSION,3586
6910,EXPRESSION,57167
4585,EXPRESSION,2064
5170,EXPRESSION,5296
10891,EXPRESSION,3064
4204,EXPRESSION,1392
7422,EXPRESSION,5743
6517,EXPRESSION,9448
255738,EXPRESSION,5465
7422,EXPRESSION,2305
26585,EXPRESSION,2249
5296,EXPRESSION,10000
8829,EXPRESSION,3791
2308,EXPRESSION,30009
1385,EXPRESSION,627
25855,EXPRESSION,6696
7292,EXPRESSION,472
6387,EXPRESSION,57007
3600,EXPRESSION,22914
8493,EXPRESSION,7124
63973,EXPRESSION,5080
207,EXPRESSION,5293
3553,EXPRESSION,3576
2146,EXPRESSION,7157
4803,EXPRESSION,7422
3630,EXPRESSION,3484
4041,EXPRESSION,7166
5335,EXPRESSION,1956
5293,EXPRESSION,208
6401,EXPRESSION,7124
57817,EXPRESSION,7036
207,EXPRESSION,5290
7157,EXPRESSION,2309
8074,EXPRESSION,5741
7422,EXPRESSION,7913
999,EXPRESSION,7291
2194,EXPRESSION,2064
7422,EXPRESSION,3630
7422,EXPRESSION,285
148738,EXPRESSION,57817
7073,EXPRESSION,1647
4233,EXPRESSION,3082
5295,EXPRESSION,207
7166,EXPRESSION,4041
