gene_from,relationship,gene_to
7186,INHIBITION,8600
156,INHIBITION,8392
5290,INHIBITION,5728
5500,INHIBITION,79054
4790,INHIBITION,5074
5515,INHIBITION,10369
5888,INHIBITION,1876
5255,INHIBITION,5499
26086,INHIBITION,6753
347468,INHIBITION,5568
55336,INHIBITION,51725
5037,INHIBITION,9715
5566,INHIBITION,135941
6750,INHIBITION,29899
1856,INHIBITION,85407
7398,INHIBITION,2177
5441,INHIBITION,5433
26281,INHIBITION,2246
50865,INHIBITION,26086
6497,INHIBITION,4088
6772,INHIBITION,3569
115650,INHIBITION,7186
80028,INHIBITION,23291
4086,INHIBITION,2022
23412,INHIBITION,26234
390437,INHIBITION,156
5500,INHIBITION,5260
26086,INHIBITION,6366
57599,INHIBITION,2175
5567,INHIBITION,283694
5600,INHIBITION,208
85366,INHIBITION,5058
6374,INHIBITION,63940
123879,INHIBITION,54951
7027,INHIBITION,1028
7072,INHIBITION,5437
408,INHIBITION,119692
192670,INHIBITION,3065
9350,INHIBITION,7475
83439,INHIBITION,64321
5933,INHIBITION,91750
6616,INHIBITION,776
28952,INHIBITION,80204
7057,INHIBITION,94239
23035,INHIBITION,10000
8945,INHIBITION,285231
6370,INHIBITION,26086
9021,INHIBITION,3460
246184,INHIBITION,701
29099,INHIBITION,54951
2034,INHIBITION,51397
80028,INHIBITION,9978
57599,INHIBITION,9937
2736,INHIBITION,2737
2248,INHIBITION,8074
1499,INHIBITION,8826
2963,INHIBITION,22916
2264,INHIBITION,8817
4637,INHIBITION,4660
27199,INHIBITION,26086
3570,INHIBITION,3716
128360,INHIBITION,157
3265,INHIBITION,10253
5599,INHIBITION,3312
138802,INHIBITION,5566
147923,INHIBITION,63970
23412,INHIBITION,150726
718,INHIBITION,5340
5520,INHIBITION,5502
890,INHIBITION,8900
29899,INHIBITION,623
4283,INHIBITION,26086
10744,INHIBITION,991
10798,INHIBITION,156
10148,INHIBITION,246778
10772,INHIBITION,5434
5879,INHIBITION,382
5566,INHIBITION,391107
150726,INHIBITION,84085
442194,INHIBITION,156
25870,INHIBITION,22901
10818,INHIBITION,9965
993,INHIBITION,7027
4659,INHIBITION,4628
85236,INHIBITION,23112
